"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тестирование проверяет работоспособность поиска онлайн-кинотеатра Кинопоиск","14204","Поиск фильма на латиннице","test","2026-02-28","passed","2026-02-28","","test_UI","",""
"Тестирование проверяет работоспособность и адекватное поведение при ошибках API-запросов на сайте онлайн-кинотеатра Кинопоиск","596","Получение фильма с id=0","test","2026-02-28","passed","2026-02-28","","test_API","",""
"Тестирование проверяет работоспособность и адекватное поведение при ошибках API-запросов на сайте онлайн-кинотеатра Кинопоиск","548","Получение списка фильмов с неправильным методом post","test","2026-02-28","passed","2026-02-28","","test_API","",""
"Тестирование проверяет работоспособность и адекватное поведение при ошибках формы авторизации на сайте онлайн-кинотеатра Кинопоиск","27482","Авторизация с валидным номером телефона","test","2026-02-28","passed","2026-02-28","","test_UI","",""
"Тестирование проверяет работоспособность и адекватное поведение при ошибках API-запросов на сайте онлайн-кинотеатра Кинопоиск","739","Получение списка фильмов онлайн-кинотеатра Кинопоиск","test","2026-02-28","passed","2026-02-28","","test_API","",""
"Тестирование проверяет работоспособность и адекватное поведение при ошибках API-запросов на сайте онлайн-кинотеатра Кинопоиск","543","Получение фильма с id со строковым значением","test","2026-02-28","passed","2026-02-28","","test_API","",""
"Тестирование проверяет работоспособность и адекватное поведение при ошибках API-запросов на сайте онлайн-кинотеатра Кинопоиск","538","Получение фильма по id","test","2026-02-28","passed","2026-02-28","","test_API","",""
"Тестирование проверяет работоспособность и адекватное поведение при ошибках формы авторизации на сайте онлайн-кинотеатра Кинопоиск","14284","Авторизация с номером телефона из нулей","test","2026-02-28","passed","2026-02-28","","test_UI","",""
"Тестирование проверяет работоспособность поиска онлайн-кинотеатра Кинопоиск","14484","Поиск фильма на кириллице","test","2026-02-28","broken","2026-02-28","","test_UI","",""
"Тестирование проверяет работоспособность и адекватное поведение при ошибках формы авторизации на сайте онлайн-кинотеатра Кинопоиск","28156","Авторизация с пустым полем ввода номера телефона","test","2026-02-28","passed","2026-02-28","","test_UI","",""
